timestamp,video_id,viewers,started_at,duration,status_text,url
1662568801,xI6ph__1wnc,3176,1662566757,2046,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2046
1662568861,xI6ph__1wnc,3222,1662566757,2106,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2106
1662568920,xI6ph__1wnc,3292,1662566757,2165,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2165
1662568981,xI6ph__1wnc,3309,1662566757,2226,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2226
1662569040,xI6ph__1wnc,3362,1662566757,2285,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2285
1662569101,xI6ph__1wnc,3397,1662566757,2346,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2346
1662569161,xI6ph__1wnc,3421,1662566757,2406,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2406
1662569220,xI6ph__1wnc,3480,1662566757,2465,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2465
1662569280,xI6ph__1wnc,3525,1662566757,2525,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2525
1662569341,xI6ph__1wnc,3576,1662566757,2586,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2586
1662569401,xI6ph__1wnc,3670,1662566757,2646,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2646
1662569460,xI6ph__1wnc,3669,1662566757,2705,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2705
