minute,msg_count
27709440,49
27709441,28
27709442,43
27709443,37
27709444,30
27709445,37
27709446,63
27709447,47
27709448,42
27709449,52
27709450,122
27709451,111
27709452,144
27709453,126
27709454,143
27709455,96
27709456,85
27709457,113
27709458,120
27709459,248
27709460,187
27709461,160
27709462,106
27709463,99
27709464,106
27709465,59
27709466,56
27709467,93
27709468,190
27709469,272
27709470,157
27709471,128
27709472,202
27709473,145
27709474,309
27709475,80
27709476,254
27709477,221
27709478,204
27709479,204
27709480,80
27709481,67
27709482,88
27709483,76
27709484,74
27709485,42
27709486,71
27709487,39
27709488,61
27709489,83
27709490,126
27709491,80
27709492,69
27709493,63
27709494,50
27709495,28
27709496,42
27709497,92
27709498,86
27709499,54
27709500,75
27709501,85
27709502,147
27709503,132
27709504,55
27709505,92
27709506,66
27709507,58
27709508,127
27709509,79
27709510,88
27709511,131
27709512,259
27709513,98
27709514,66
27709515,99
27709516,109
27709517,210
27709518,129
27709519,29
27709520,45
27709521,99
27709522,125
27709523,177
27709524,47
27709525,58
27709526,45
27709527,54
27709528,48
27709529,60
27709530,65
27709531,49
27709532,244
27709533,179
27709534,117
27709535,142
27709536,131
27709537,169
27709538,100
27709539,144
27709540,206
27709541,245
27709542,91
27709543,101
27709544,69
27709545,116
27709546,122
27709547,115
27709548,219
27709549,203
27709550,183
27709551,174
27709552,87
27709553,138
27709554,324
27709555,230
27709556,171
27709557,241
27709558,236
27709559,276
27709560,221
27709561,161
27709562,160
27709563,101
27709564,203
27709565,265
27709566,157
27709567,164
27709568,140
27709569,164
27709570,245
27709571,415
27709572,143
27709573,104
27709574,126
27709575,61
27709576,69
27709577,90
27709578,68
27709579,80
27709580,106
27709581,95
27709582,40
27709583,61
27709584,62
27709585,99
27709586,69
27709587,66
27709588,34
27709589,26
27709590,128
27709591,58
27709592,89
27709593,219
27709594,195
27709595,73
27709596,34
27709597,96
27709598,101
27709599,355
27709600,55
27709601,88
27709602,120
27709603,77
27709604,52
27709605,65
27709606,123
27709607,93
27709608,140
27709609,87
27709610,74
27709611,262
27709612,337
27709613,86
27709614,55
27709615,91
27709616,118
27709617,45
27709618,100
27709619,101
27709620,137
27709621,103
27709622,77
27709623,50
27709624,89
27709625,66
27709626,107
27709627,110
27709628,154
27709629,66
27709630,63
27709631,60
27709632,46
27709633,38
27709634,32
27709635,62
27709636,78
27709637,104
27709638,59
27709639,68
27709640,55
27709641,41
27709642,73
27709643,57
27709644,71
27709645,124
27709646,274
27709647,246
27709648,82
27709649,103
27709650,113
27709651,170
27709652,115
27709653,215
27709654,348
27709655,259
27709656,79
27709657,147
27709658,110
27709659,117
27709660,171
27709661,165
27709662,155
27709663,217
27709664,259
27709665,189
27709666,147
27709667,158
27709668,155
27709669,115
27709670,93
27709671,113
27709672,304
27709673,151
27709674,115
27709675,85
27709676,103
27709677,100
27709678,250
27709679,232
27709680,225
27709681,437
27709682,432
27709683,274
27709684,230
27709685,292
27709686,277
27709687,239
27709688,240
27709689,126
27709690,410
27709691,173
27709692,126
27709693,60
27709694,79
27709695,76
27709696,119
27709697,70
27709698,73
27709699,94
27709700,51
27709701,161
27709702,56
27709703,78
27709704,136
27709705,68
27709706,108
27709707,125
27709708,248
27709709,140
27709710,190
27709711,132
27709712,73
27709713,115
27709714,59
27709715,58
27709716,77
27709717,59
27709718,163
27709719,65
27709720,79
27709721,49
27709722,42
27709723,61
27709724,42
27709725,54
27709726,55
27709727,36
27709728,76
27709729,90
27709730,76
27709731,124
27709732,79
27709733,62
27709734,73
27709735,41
27709736,48
27709737,44
27709738,84
27709739,119
27709740,143
27709741,89
27709742,42
27709743,69
27709744,70
27709745,51
27709746,38
27709747,41
27709748,131
27709749,94
27709750,75
27709751,71
27709752,52
27709753,36
27709754,69
27709755,55
27709756,56
27709757,61
27709758,68
27709759,98
27709760,65
27709761,57
27709762,47
27709763,61
27709764,64
27709765,76
27709766,114
27709767,194
27709768,55
27709769,31
27709770,123
27709771,112
27709772,110
27709773,134
27709774,131
27709775,156
27709776,238
27709777,190
27709778,274
27709779,176
27709780,144
27709781,71
27709782,52
27709783,139
27709784,267
27709785,236
27709786,163
27709787,145
27709788,71
27709789,156
27709790,128
27709791,119
27709792,143
27709793,108
27709794,91
27709795,83
27709796,86
27709797,74
27709798,86
27709799,57
27709800,71
27709801,74
27709802,69
27709803,39
27709804,28
27709805,33
27709806,40
27709807,64
27709808,81
27709809,65
27709810,73
27709811,73
27709812,84
27709813,91
27709814,100
27709815,57
27709816,53
27709817,64
27709818,55
27709819,87
27709820,86
27709821,75
27709822,68
27709823,97
27709824,211
27709825,126
27709826,107
27709827,127
27709828,125
27709829,34
27709830,75
27709831,106
27709832,31
27709833,101
27709834,153
27709835,87
27709836,122
27709837,178
27709838,123
27709839,143
27709840,59
27709841,79
27709842,45
27709843,55
27709844,88
27709845,64
27709846,61
27709847,74
27709848,76
27709849,82
27709850,172
27709851,85
27709852,130
27709853,50
27709854,85
27709855,94
27709856,88
27709857,51
27709858,76
27709859,111
27709860,87
27709861,77
27709862,111
27709863,94
27709864,76
27709865,74
27709866,120
27709867,76
27709868,68
27709869,52
27709870,99
27709871,137
27709872,57
27709873,70
27709874,139
27709875,211
27709876,89
27709877,111
27709878,209
27709879,323
27709880,216
27709881,416
27709882,369
27709883,481
27709884,416
27709885,216
27709886,288
27709887,250
27709888,142
27709889,168
27709890,217
27709891,242
27709892,531
27709893,535
27709894,223
27709895,188
27709896,257
27709897,192
27709898,325
27709899,218
27709900,326
27709901,349
27709902,472
27709903,645
27709904,386
27709905,363
27709906,327
27709907,196
27709908,386
27709909,273
27709910,274
27709911,378
27709912,423
27709913,325
27709914,196
27709915,262
27709916,400
27709917,552
27709918,256
27709919,127
27709920,120
27709921,140
27709922,140
27709923,66
27709924,115
27709925,104
27709926,88
27709927,108
27709928,130
27709929,200
27709930,223
27709931,192
27709932,147
27709933,321
27709934,257
27709935,398
27709936,83
27709937,60
27709938,31
