timestamp,video_id,viewers,started_at,duration,status_text,url
1662668823,haYOA1fMg54,8702,1662655106,13717,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=13717
1662668882,haYOA1fMg54,8703,1662655106,13776,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=13776
1662668942,haYOA1fMg54,8729,1662655106,13837,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=13837
1662669002,haYOA1fMg54,8690,1662655106,13897,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=13897
1662669065,haYOA1fMg54,8716,1662655106,13960,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=13960
1662669123,haYOA1fMg54,8805,1662655106,14017,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14017
1662669182,haYOA1fMg54,8817,1662655106,14076,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14076
1662669242,haYOA1fMg54,8867,1662655106,14137,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14137
1662669303,haYOA1fMg54,8868,1662655106,14197,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14197
1662669362,haYOA1fMg54,8848,1662655106,14256,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14256
1662669423,haYOA1fMg54,8884,1662655106,14317,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14317
1662669482,haYOA1fMg54,8843,1662655106,14376,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14376
1662669542,haYOA1fMg54,8882,1662655106,14436,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14436
1662669603,haYOA1fMg54,8871,1662655106,14497,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14497
1662669662,haYOA1fMg54,8904,1662655106,14557,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14557
1662669723,haYOA1fMg54,8918,1662655106,14618,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14618
1662669784,haYOA1fMg54,8909,1662655106,14678,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14678
1662669845,haYOA1fMg54,8956,1662655106,14740,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14740
1662669903,haYOA1fMg54,9053,1662655106,14797,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14797
