minute,msg_count
27710913,58
27710914,47
27710915,51
27710916,50
27710917,40
27710918,90
27710919,131
27710920,82
27710921,70
27710922,250
27710923,189
27710924,233
27710925,307
27710926,133
27710927,168
27710928,240
27710929,194
27710930,257
27710931,465
27710932,351
27710933,495
27710934,274
27710935,199
27710936,220
27710937,425
27710938,567
27710939,172
27710940,324
27710941,157
27710942,177
27710943,450
27710944,508
27710945,369
27710946,237
27710947,275
27710948,270
27710949,284
27710950,203
27710951,290
27710952,312
27710953,272
27710954,457
27710955,203
27710956,286
27710957,386
27710958,370
27710959,435
27710960,344
27710961,249
27710962,214
27710963,264
27710964,282
27710965,409
27710966,399
27710967,229
27710968,333
27710969,246
27710970,233
27710971,193
27710972,770
27710973,447
27710974,184
27710975,258
27710976,142
27710977,382
27710978,157
27710979,98
27710980,88
27710981,88
27710982,208
27710983,223
27710984,320
27710985,200
27710986,165
27710987,218
27710988,264
27710989,273
27710990,182
27710991,275
27710992,202
27710993,273
27710994,145
27710995,406
27710996,241
27710997,268
27710998,400
27710999,369
27711000,156
27711001,296
27711002,241
27711003,222
27711004,186
27711005,335
27711006,169
27711007,237
27711008,195
27711009,210
27711010,170
27711011,168
27711012,341
27711013,285
27711014,273
27711015,191
27711016,179
27711017,128
27711018,265
27711019,209
27711020,353
27711021,490
27711022,575
27711023,518
27711024,690
27711025,622
27711026,1038
27711027,349
27711028,275
27711029,418
27711030,277
27711031,460
27711032,578
27711033,310
27711034,395
27711035,158
27711036,102
27711037,391
27711038,241
27711039,96
27711040,91
27711041,143
27711042,351
27711043,481
27711044,265
27711045,241
27711046,242
27711047,188
27711048,331
27711049,163
27711050,284
27711051,645
27711052,339
27711053,314
27711054,172
27711055,314
27711056,301
27711057,178
27711058,95
27711059,175
27711060,196
27711061,169
27711062,226
27711063,286
27711064,153
27711065,231
27711066,104
27711067,202
27711068,165
27711069,337
27711070,588
27711071,231
27711072,138
27711073,244
27711074,200
27711075,404
27711076,398
27711077,125
27711078,296
27711079,230
27711080,249
27711081,345
27711082,204
27711083,192
27711084,131
27711085,185
27711086,200
27711087,94
27711088,214
27711089,126
27711090,103
27711091,146
27711092,190
27711093,239
27711094,196
27711095,180
27711096,210
27711097,371
27711098,264
27711099,333
27711100,571
27711101,331
27711102,202
27711103,232
27711104,395
27711105,273
27711106,270
27711107,235
27711108,303
27711109,254
27711110,122
27711111,169
27711112,252
27711113,235
27711114,474
27711115,289
27711116,347
27711117,304
27711118,258
27711119,740
27711120,326
27711121,383
27711122,231
27711123,408
27711124,726
27711125,502
27711126,740
27711127,414
27711128,240
27711129,548
27711130,155
27711131,173
27711132,202
27711133,197
27711134,352
27711135,421
27711136,286
27711137,134
27711138,113
27711139,137
27711140,136
27711141,217
27711142,351
27711143,219
27711144,151
27711145,127
27711146,192
27711147,214
27711148,132
27711149,85
27711150,194
27711151,363
27711152,215
27711153,236
27711154,201
27711155,274
27711156,241
27711157,109
27711158,257
27711159,94
27711160,258
27711161,424
27711162,374
27711163,290
27711164,698
27711165,305
27711166,437
27711167,335
27711168,233
27711169,363
27711170,135
27711171,205
27711172,86
27711173,97
27711174,149
27711175,158
27711176,172
27711177,214
27711178,249
27711179,90
27711180,86
27711181,134
27711182,84
27711183,153
27711184,221
27711185,323
27711186,285
27711187,290
27711188,187
27711189,137
27711190,136
27711191,71
27711192,155
27711193,231
27711194,268
27711195,144
27711196,218
27711197,184
27711198,117
27711199,201
27711200,202
27711201,217
27711202,123
27711203,138
27711204,167
27711205,178
27711206,194
27711207,90
27711208,205
27711209,194
27711210,178
27711211,365
27711212,132
27711213,272
27711214,132
27711215,443
27711216,261
27711217,279
27711218,173
27711219,214
27711220,277
27711221,370
27711222,277
27711223,162
27711224,198
27711225,195
27711226,298
27711227,290
27711228,218
27711229,295
27711230,149
27711231,404
27711232,247
27711233,162
27711234,170
27711235,180
27711236,102
27711237,154
27711238,244
27711239,334
27711240,284
27711241,379
27711242,214
27711243,219
27711244,161
27711245,147
27711246,93
27711247,114
27711248,344
27711249,478
27711250,462
27711251,476
27711252,217
27711253,157
27711254,345
27711255,391
27711256,479
27711257,702
27711258,252
27711259,1133
27711260,303
27711261,299
27711262,297
27711263,365
27711264,375
27711265,508
27711266,568
27711267,587
27711268,647
27711269,671
27711270,487
27711271,597
27711272,474
27711273,544
27711274,468
27711275,339
27711276,296
27711277,205
27711278,76
27711279,168
27711280,91
27711281,68
27711282,84
27711283,252
27711284,218
27711285,112
27711286,278
27711287,114
27711288,78
27711289,80
27711290,71
27711291,69
27711292,144
27711293,89
27711294,89
27711295,91
27711296,46
27711297,81
27711298,81
27711299,90
27711300,48
27711301,58
27711302,64
27711303,153
27711304,90
27711305,75
27711306,169
27711307,139
27711308,106
27711309,75
27711310,65
27711311,82
27711312,94
27711313,62
27711314,79
27711315,77
27711316,78
27711317,277
27711318,326
27711319,300
27711320,81
27711321,63
27711322,71
27711323,53
27711324,71
27711325,48
27711326,59
27711327,74
27711328,75
27711329,50
27711330,71
27711331,65
27711332,90
27711333,75
27711334,53
27711335,84
27711336,179
27711337,173
27711338,91
27711339,101
27711340,90
27711341,93
27711342,159
27711343,121
27711344,151
27711345,143
27711346,149
27711347,95
27711348,84
27711349,331
27711350,255
27711351,116
27711352,265
27711353,70
27711354,176
27711355,152
27711356,110
27711357,222
27711358,199
27711359,140
27711360,124
27711361,169
27711362,248
27711363,110
27711364,115
27711365,85
27711366,99
27711367,48
27711368,53
27711369,61
27711370,80
27711371,47
27711372,83
27711373,46
27711374,29
27711375,49
27711376,86
27711377,53
27711378,59
27711379,46
27711380,47
27711381,38
27711382,41
27711383,31
27711384,49
27711385,45
27711386,62
27711387,32
27711388,50
27711389,36
27711390,37
27711391,80
27711392,50
27711393,37
27711394,44
27711395,96
27711396,52
27711397,53
27711398,115
27711399,154
27711400,196
27711401,72
27711402,46
27711403,4
