start,end,duration,game,subject,topic
0:04:00,00:07:29,0:03:29,Just Chatting,Just Chatting,Watching (r/LivestreamFail clips)
00:07:29,0:13:26,0:05:57,Just Chatting,Just Chatting,"Watching (""Who Wants to Be a Millionaire?"" videos)"
0:19:29,6:57:04,6:37:35,Factorio,Just Chatting,Playing Factorio
00:27:18,1:09:24,0:42:06,Factorio,Just Chatting,"Talking (Keffals logs leaked, The #Dropkiwifarms campaign)"
1:09:11,01:17:31,0:08:20,Factorio,Just Chatting,Watching (POV footage of the Russia/Ukraine conflict)
1:19:49,1:23:14,0:03:25,Factorio,Just Chatting,Gym talk
01:35:25,1:39:33,0:04:08,Factorio,Just Chatting,Gym talk
01:40:50,01:55:20,0:14:30,Factorio,Just Chatting,Watching (Random memes)
1:59:34,2:01:48,0:02:14,AFK,AFK,Destiny AFK
2:06:22,2:09:12,0:02:50,Factorio,Just Chatting,"Watching (Video ""MAGA Nazis in their own words: ""Fuck democracy!"""")"
2:13:28,05:22:50,3:09:22,Factorio,Just Chatting,"Watching (Video ""Xanderhal is not your ally"")"
05:24:38,05:30:07,0:05:29,Factorio,Just Chatting,Viewer Call-ins
05:30:07,05:52:15,0:22:08,Factorio,Just Chatting,Viewer Call-ins (Hamster_Hawk calls in to shoot for an unban with Lycan and Ninou)
05:52:15,05:57:43,0:05:28,Factorio,Just Chatting,Viewer Call-ins
05:59:50,06:56:12,0:56:22,Factorio,Just Chatting,Viewer Call-ins
06:57:04,07:18:22,0:21:18,AFK,AFK,Destiny AFK
07:21:12,07:58:40,0:37:28,DOOM Eternal,Just Chatting,Playing DOOM Eternal
